ano;esfera_administrativa;cnuc;nome_da_uc;uf;municipios_abrangidos;latitude;longitude;bioma;area_soma_bioma_(ha);grau_de_efetividade;calculo_efetividade;calculo_resultados;calculo_produtos;calculo_contexto;calculo_planejamento;calculo_insumos;calculo_processo
2020;Estadual;0000.50.1578;AREA DE PROTECAO AMBIENTAL RIO CENICO ROTAS MONCOEIRAS;MS;São Gabriel do Oeste (MS), Rio Verde de Mato Grosso (MS), Coxim (MS), Camapuã (MS);-19,04306705;-54,33448345;CERRADO;15423;3 - Moderada Efetividade;0.493520389;0.57530382;0.61805556;0.36111111;0.32310333;0.6875;0.46875
2019;Estadual;0000.50.1578;AREA DE PROTECAO AMBIENTAL RIO CENICO ROTAS MONCOEIRAS;MS;São Gabriel do Oeste (MS), Rio Verde de Mato Grosso (MS), Coxim (MS), Camapuã (MS);-19,04306705;-54,33448345;CERRADO;15423;3 - Moderada Efetividade;0.488752257;0.57248264;0.65625;0.33333333;0.35742986;0.52777778;0.53125
2019;Estadual;0000.25.2309;AREA DE PROTECAO AMBIENTAL RONCADOR;PB;Bananeiras (PB), Pirpirituba (PB);-6,764722222;-35,5262963;MATA ATLANTICA;6113;2 - Efetiva;0.684761953;0.99479167;0.925;0.25;0.77306982;0.7375;0.6375
2019;Estadual;0000.29.0327;AREA DE PROTECAO AMBIENTAL SANTO ANTONIO;BA;Belmonte (BA), Santa Cruz Cabrália (BA);-16,08506621;-38,96992956;MATA ATLANTICA;25923;3 - Moderada Efetividade;0.435448191;0.5078125;0.47115385;0.38333333;0.25551815;0.734375;0.375
2020;Estadual;0000.29.0327;AREA DE PROTECAO AMBIENTAL SANTO ANTONIO;BA;Belmonte (BA), Santa Cruz Cabrália (BA);-16,08506621;-38,96992956;MATA ATLANTICA;25923;4 - Reduzida Efetividade;0.387502187;0.50906033;0.50520833;0.39583333;0.22478961;0.375;0.35416667
2018;Estadual;0000.29.0327;AREA DE PROTECAO AMBIENTAL SANTO ANTONIO;BA;Belmonte (BA), Santa Cruz Cabrália (BA);-16,08506621;-38,96992956;MATA ATLANTICA;25923;4 - Reduzida Efetividade;0.297649922;0.0;0.4476186;0.2619045;0.77768031;0.375;0.5625
2020;Estadual;0000.29.0322;AREA DE PROTECAO AMBIENTAL SERRA BRANCA / RASO DA CATARINA;BA;Abaíra (BA), Piatã (BA), Rio de Contas (BA), Rio do Pires (BA), Érico Cardoso (BA);-9,88307657;-38,64638852;CAATINGA;67280;4 - Reduzida Efetividade;0.325509613;0.61979167;0.5625;0.34166667;0.37566515;0.0;0.52678571
2018;Estadual;0000.29.0322;AREA DE PROTECAO AMBIENTAL SERRA BRANCA / RASO DA CATARINA;BA;Abaíra (BA), Piatã (BA), Rio de Contas (BA), Rio do Pires (BA), Érico Cardoso (BA);-9,88307657;-38,64638852;CAATINGA;67280;5 - Não Efetiva;0.170721124;0.16666667;0.5047614;0.1190475;0.05185185;0.2;0.1875
2019;Federal;0000.00.0029;AREA DE PROTECAO AMBIENTAL SERRA DA IBIAPABA;CE, PI;Viçosa do Ceará (CE), Bom Princípio do Piauí (PI), Brasileira (PI), Buriti dos Lopes (PI), Cocal (PI), Conceição do Canindé (PI), Domingos Mourão (PI), Lagoa de São Francisco (PI), Piracuruca (PI), Piripiri (PI), Pedro II (PI), Chaval (CE), Gran;-3,906759131;-41,45423668;CAATINGA;1624173;3 - Moderada Efetividade;0.468322482;0.45986857;0.59375;0.35416667;0.33488916;0.39705882;0.7421875
2020;Federal;0000.00.0029;AREA DE PROTECAO AMBIENTAL SERRA DA IBIAPABA;CE, PI;Viçosa do Ceará (CE), Bom Princípio do Piauí (PI), Brasileira (PI), Buriti dos Lopes (PI), Cocal (PI), Conceição do Canindé (PI), Domingos Mourão (PI), Lagoa de São Francisco (PI), Piracuruca (PI), Piripiri (PI), Pedro II (PI), Chaval (CE), Gran;-3,906759131;-41,45423668;CAATINGA;1624173;3 - Moderada Efetividade;0.427668644;0.41837881;0.65224359;0.41666667;0.28600552;0.3984375;0.4375
