nome_da_uc;nota_pessoal_mean;nota_pessoal_std;nota_equipamento_mean;nota_equipamento_std;nota_capacidade_mean;nota_capacidade_std;nota_recurso_mean;nota_recurso_std;nota_apoio_mean;nota_apoio_std;cnuc;bioma;calculo_efetividade_mean;calculo_efetividade_std
RESERVA BIOLOGICA DO GUARA;0.25;;0.25;;0.25;;0.25;;0.25;;0000.53.1655;CERRADO;0.162739731;
RESERVA BIOLOGICA DO GURUPI;0.6;0.14956076040402969;0.6;0.1256561724875086;0.6125;0.15120132970732486;0.5625;0.15966659341462627;0.3375;0.14678573715309998;0000.00.0207;AMAZONIA;0.47082590025;0.02413771124946329
RESERVA BIOLOGICA DO IBIRAPUITA;0.375;0.1626109088969977;0.44642857142857145;0.40642166702646576;0.5535714285714286;0.2231455938259952;0.5;0.41602514716892186;0.32142857142857145;0.22846838336584385;0000.43.2007;PAMPA;0.44531989066666666;0.03716632587706681
RESERVA BIOLOGICA DO JARU;0.75;0.3535533905932738;0.7857142857142857;0.36596252735569995;0.75;0.3535533905932738;0.6071428571428571;0.2834733547569204;0.10714285714285714;0.1336306209562122;0000.00.0208;AMAZONIA;0.53407853325;0.057674677025892136
RESERVA BIOLOGICA DO LAGO PIRATUBA;0.325;0.16423667133294656;0.6875;0.26748093881915946;0.3;0.13078709094514923;0.725;0.24197651038674678;0.25;0.22941573387056177;0000.00.0209;AMAZONIA;0.401289265;0.023057729091755574
RESERVA BIOLOGICA DO MANICORE;0.34375;0.18600595228571123;0.5;0.32732683535398854;0.96875;0.08838834764831847;0.5625;0.2912411862553588;0.15625;0.22903134532822608;0000.00.3411;AMAZONIA;0.4780311152500001;0.10298806782734561
RESERVA BIOLOGICA DO MATO GRANDE;0.5;0.25;0.55;0.27386127875258304;0.5;0.25;0.45;0.32596012026013244;0.35;0.22360679774997896;0000.43.1993;PAMPA;0.521372903;
RESERVA BIOLOGICA DO PARAZINHO;0.4375;0.125;0.5;0.0;0.6875;0.125;0.3125;0.125;0.375;0.25;0000.16.0291;AMAZONIA;0.492083255;0.04433535334987736
RESERVA BIOLOGICA DO RIO DESCOBERTO;0.375;0.1767766952966369;0.375;0.1767766952966369;0.375;0.1767766952966369;0.375;0.1767766952966369;0.25;0.0;0000.53.1657;CERRADO;0.182636772;
RESERVA BIOLOGICA DO RIO TROMBETAS;0.6375;0.15120132970732483;0.725;0.07694837640638656;0.75;0.16222142113076254;0.725;0.16018081887929686;0.4;0.2051956704170308;0000.00.0210;AMAZONIA;0.5172350283333333;0.10930001557648066
RESERVA BIOLOGICA DO TAPIRAPE;0.25;0.0;0.5875;0.21877349497885515;0.475;0.16018081887929686;0.625;0.17206180040292132;0.5125;0.055901699437494734;0000.00.0211;AMAZONIA;0.5346608636666667;0.014065133158013568
RESERVA BIOLOGICA DO TINGUA;0.75;0.2672612419124244;0.7833333333333333;0.20845234695819798;0.8166666666666667;0.1759328876372492;0.6666666666666666;0.36187343222787294;0.4166666666666667;0.24397501823713333;0000.00.0212;MATA ATLANTICA;0.52156707275;0.05111386729501865
RESERVA BIOLOGICA DO UATUMA;0.6111111111111112;0.26040441147634175;0.75;0.24253562503633297;0.8472222222222222;0.1254078314261375;0.6805555555555556;0.23957001241740006;0.4166666666666667;0.25724787771376323;0000.00.0213;AMAZONIA;0.607843786;0.026737810120262342
RESERVA BIOLOGICA ESTADUAL DE GUARATIBA;0.8125;0.14433756729740643;0.5625;0.2327373340628157;0.8125;0.1443375672974065;0.40625;0.37499999999999994;0.390625;0.2409832290153542;0000.33.1482;MATA ATLANTICA;0.577193349;
RESERVA BIOLOGICA ESTADUAL DO AGUAI;0.8875;0.15120132970732486;0.925;0.1175405864954068;0.875;0.2750598021100904;0.9375;0.11106541457982984;0.2125;0.21877349497885515;0000.42.0781;MATA ATLANTICA;0.702527952;
RESERVA BIOLOGICA ESTADUAL DO SASSAFRAS;0.325;0.1687371394276382;0.125;0.24295632895188754;0.75;0.28867513459481287;0.3;0.3689323936863109;0.4;0.17480147469502524;0000.42.1830;MATA ATLANTICA;0.419112448;
RESERVA BIOLOGICA GUARIBAS;0.4090909090909091;0.20225995873897262;0.7727272727272727;0.23596995186213474;0.7045454545454546;0.2454124543035107;0.6136363636363636;0.23354968324845685;0.3409090909090909;0.28001623329566255;0000.00.0196;MATA ATLANTICA;0.49792090775;0.02378650399660755
RESERVA BIOLOGICA MARINHA DO ARVOREDO;0.9125;0.16770509831248423;0.875;0.2067925479671278;0.9375;0.1596665934146263;0.8625;0.22176030208075423;0.25;0.25649458802128855;0000.00.0214;MARINHO;0.5370051265;0.01201470141138413
RESERVA BIOLOGICA NASCENTES SERRA DO CACHIMBO;0.5227272727272727;0.28404545090850897;0.9318181818181818;0.11677484162422842;0.75;0.2958039891549808;0.6136363636363636;0.4087119456847995;0.45454545454545453;0.2454124543035107;0000.00.0216;AMAZONIA;0.433178599;0.07093469753128777
RESERVA BIOLOGICA UNIAO;0.5625;0.1965993789142623;0.775;0.16018081887929686;0.7875;0.12234012123239822;0.75;0.2564945880212885;0.3875;0.17158318528831493;0000.00.0217;MATA ATLANTICA;0.5949947345000001;0.052532806745213746
RESERVA DE DESENVOLVIMENTO SUSTENTAVEL DO RIO IRATAPURU;0.8;0.22360679774997896;0.7375;0.22176030208075423;0.9;0.14956076040402969;0.825;0.36364383963606917;0.3375;0.2470217335420211;0000.16.0292;AMAZONIA;0.6439400639999999;0.005582820169502145
RESERVA DE DESENVOLVIMENTO SUSTENTAVEL NASCENTES GERAIZEIRAS;0.5294117647058824;0.21437323142813605;0.7794117647058824;0.17415763650480898;0.7205882352941176;0.15006126199969524;0.7058823529411765;0.2536498280979462;0.4852941176470588;0.3121321364233989;0000.00.3135;CERRADO;0.540961504;0.0024533206816539305
RESERVA EXTRATIVISTA ACAU-GOIANA;0.75;0.1917412472118426;0.7638888888888888;0.24959116898237188;0.7777777777777778;0.26965240273480523;0.2777777777777778;0.3626788492763512;0.4583333333333333;0.2462960915359445;0000.00.1563;MATA ATLANTICA;0.4504684376666666;0.03377750755281278
RESERVA EXTRATIVISTA ALTO JURUA;0.26666666666666666;0.06454972243679027;0.3;0.140152977645347;0.4666666666666667;0.0879664438186246;0.08333333333333333;0.2041241452319315;0.35;0.1267731382092775;0000.00.1517;AMAZONIA;0.41351420666666666;0.026598047196387985
RESERVA EXTRATIVISTA ALTO TARAUACA;0.6166666666666667;0.22886885410853172;0.75;0.21128856368212914;0.9;0.1267731382092775;0.75;0.32732683535398854;0.25;0.1336306209562122;0000.00.0274;AMAZONIA;0.556214801;0.01127436707029
RESERVA EXTRATIVISTA ARAPIRANGA-TROMAI;1.0;0.0;0.9444444444444444;0.1102396379610246;1.0;0.0;0.9444444444444444;0.11023963796102461;0.5833333333333334;0.33071891388307384;0000.00.3654;MARINHO;0.701227158;0.024466651310736734
RESERVA EXTRATIVISTA ARAPIXI;0.75;0.25;0.8928571428571429;0.1336306209562122;0.7857142857142857;0.17251638983558856;0.75;0.3818813079129867;0.5357142857142857;0.17251638983558854;0000.00.0285;AMAZONIA;0.47998582533333334;0.07912310755972371
RESERVA EXTRATIVISTA ARIOCA PRUANA;0.25;0.0;0.59375;0.22903134532822608;0.6875;0.25877458475338283;0.59375;0.2651650429449553;0.625;0.1336306209562122;0000.00.0273;AMAZONIA;0.48431592;0.0649808137213805
RESERVA EXTRATIVISTA AUATI-PARANA;0.6136363636363636;0.13055824196677338;0.75;0.19364916731037088;0.9090909090909091;0.12613124477737822;0.7045454545454546;0.1876892983823871;0.5;0.19364916731037085;0000.00.0220;AMAZONIA;0.4999226285;0.026507818768652002
RESERVA EXTRATIVISTA BAIXO JURUA;0.3958333333333333;0.12873216263610932;0.4166666666666667;0.2682716849943299;0.6875;0.18844459036110228;0.7083333333333334;0.27866021451135636;0.375;0.1685499656158105;0000.00.0230;AMAZONIA;0.47494386675;0.007454405730403916
RESERVA EXTRATIVISTA BAIXO RIO BRANCO JAUAPERI;0.4423076923076923;0.18125276302049606;0.4807692307692308;0.16012815380508713;0.5769230769230769;0.21371260356627758;0.40384615384615385;0.24019223070763074;0.38461538461538464;0.1297186304156927;0000.00.3693;AMAZONIA;0.357514995;0.08676600710439805
RESERVA EXTRATIVISTA BARREIRO DAS ANTAS;0.3055555555555556;0.16666666666666666;1.0;0.0;1.0;0.0;1.0;0.0;0.25;0.0;0000.00.0221;AMAZONIA;0.65093407925;0.032999154209737765
RESERVA EXTRATIVISTA CHAPADA LIMPA;0.59375;0.17969882210706523;0.828125;0.17603858478564674;0.84375;0.125;0.578125;0.25361962989222003;0.40625;0.2719528145346787;0000.00.1564;CERRADO;0.5136979296666666;0.014295503982494052
RESERVA EXTRATIVISTA CHICO MENDES;0.28125;0.08838834764831845;0.6875;0.1767766952966369;0.375;0.18898223650461363;0.71875;0.24775780224127872;0.53125;0.20863074009907004;0000.00.0222;AMAZONIA;0.5593844875;0.04908616693189808
RESERVA EXTRATIVISTA CHOCOARE-MATO GROSSO;0.265625;0.06249999999999999;0.734375;0.19297560294849017;0.703125;0.10077822185373185;0.734375;0.23217719526258387;0.25;0.12909944487358055;0000.00.0223;AMAZONIA;0.6235486155;0.0891290747952635
RESERVA EXTRATIVISTA CORUMBAU;0.3875;0.31907555614041605;0.75;0.303488489333442;0.6375;0.23612831034708312;0.8;0.27625312572654126;0.125;0.2067925479671278;0000.00.0252;MARINHO;0.5024291144999999;0.03611915020139224
RESERVA EXTRATIVISTA DA BAIA DO TUBARAO;1.0;0.0;0.875;0.2091650066335189;1.0;0.0;0.8333333333333334;0.2041241452319315;0.5416666666666666;0.29226129861250305;0000.00.3653;AMAZONIA;0.6698829719999999;0.061657349183434434
RESERVA EXTRATIVISTA DE CANAVIEIRAS;0.55;0.13078709094514923;0.7875;0.18628995509264862;0.8;0.13078709094514926;0.95;0.10259783520851541;0.2375;0.2625156636930652;0000.00.0253;MARINHO;0.49382026450000005;0.010132152987849611
RESERVA EXTRATIVISTA DE CASSURUBA;0.578125;0.1983000672381799;0.78125;0.17969882210706523;0.8125;0.19364916731037082;0.890625;0.2230237281845439;0.421875;0.1983000672381799;0000.00.1808;MARINHO;0.538872681;0.024604162441881905
RESERVA EXTRATIVISTA DO BATOQUE;0.9583333333333334;0.09731236802019039;0.8125;0.15539539012701525;0.9166666666666666;0.1628347368197324;0.6875;0.3038577717527486;0.3333333333333333;0.28867513459481287;0000.00.0231;CAATINGA;0.56358887025;0.04091094615539383
RESERVA EXTRATIVISTA DO CAZUMBA-IRACEMA;0.5833333333333334;0.33210558207753565;0.7361111111111112;0.2639103878411335;0.6111111111111112;0.32338083338177726;0.5;0.2843982294972605;0.3333333333333333;0.2572478777137633;0000.00.0232;AMAZONIA;0.5447700846666668;0.010727992699386166
RESERVA EXTRATIVISTA DO CIRIACO;0.6458333333333334;0.19824036527468977;0.7083333333333334;0.09731236802019042;0.9166666666666666;0.1628347368197324;0.6875;0.15539539012701525;0.4791666666666667;0.19824036527468977;0000.00.1519;AMAZONIA;0.6302067866666666;0.04168050704659025
RESERVA EXTRATIVISTA DO LAGO DO CAPANA GRANDE;0.3958333333333333;0.27090616736270795;0.6458333333333334;0.2709061673627079;0.5625;0.11306675421666136;0.625;0.1994310088043664;0.3125;0.11306675421666133;0000.00.0242;AMAZONIA;0.547846402;0.016886173650098306
RESERVA EXTRATIVISTA DO MEDIO PURUS;0.4;0.24640269015229058;0.6666666666666666;0.2249338527106093;0.5666666666666667;0.25819888974716115;0.5833333333333334;0.12198750911856666;0.4166666666666667;0.1543033499620919;0000.00.1606;AMAZONIA;0.5267850583333334;0.032027004525432015
RESERVA EXTRATIVISTA DO RIO CAUTARIO;0.34375;0.12938729237669142;0.875;0.1336306209562122;0.875;0.18898223650461363;0.90625;0.18600595228571123;0.46875;0.08838834764831845;0000.00.0238;AMAZONIA;0.6382812717499999;0.02577165836873011
RESERVA EXTRATIVISTA DO RIO JUTAI;0.16666666666666666;0.2041241452319315;0.9166666666666666;0.12909944487358055;0.3333333333333333;0.3763863263545405;0.875;0.13693063937629152;0.16666666666666666;0.2041241452319315;0000.00.0239;AMAZONIA;0.5487359396666666;0.010539652266516871
RESERVA EXTRATIVISTA DO RIO UNINI;0.575;0.18317377426626164;0.8;0.17396309348461483;0.7875;0.14678573715309995;0.725;0.24197651038674678;0.4125;0.18628995509264862;0000.00.0283;AMAZONIA;0.593332195;0.043939345001764975
RESERVA EXTRATIVISTA EXTREMO NORTE DO TOCANTINS;0.45;0.22973414586817034;0.55;0.2838231060987733;0.825;0.3129163892586431;0.525;0.36228441865473593;0.45;0.2581988897471611;0000.00.0240;AMAZONIA;0.512156025;0.08963935328422006
RESERVA EXTRATIVISTA ITUXI;0.5;0.1336306209562122;0.65625;0.12938729237669142;0.6875;0.11572751247156893;0.65625;0.22903134532822608;0.5;0.0;0000.00.1628;AMAZONIA;0.57796982425;0.015410241062760677
RESERVA EXTRATIVISTA LAGO DO CEDRO;0.20833333333333334;0.10206207261596575;0.4166666666666667;0.2041241452319315;0.16666666666666666;0.12909944487358058;0.2916666666666667;0.40052049468993056;0.3333333333333333;0.2581988897471611;0000.00.0287;CERRADO;0.3517255523333333;0.010421162400835886
RESERVA EXTRATIVISTA LAGO DO CUNIA;0.5357142857142857;0.2672612419124244;0.6071428571428571;0.1336306209562122;0.8214285714285714;0.1889822365046136;0.5357142857142857;0.30374644814697793;0.39285714285714285;0.31810450514017585;0000.00.0233;AMAZONIA;0.5683630505;0.07088596122962057
RESERVA EXTRATIVISTA MAE GRANDE DE CURUCA;0.2625;0.055901699437494734;0.7875;0.09158688713313082;0.7;0.1538967528127731;0.575;0.24468024246479644;0.2875;0.20318192522181225;0000.00.0243;AMAZONIA;0.457037191;0.004792252164957228
