nome_da_uc;nota_pessoal_mean;nota_pessoal_std;nota_equipamento_mean;nota_equipamento_std;nota_capacidade_mean;nota_capacidade_std;nota_recurso_mean;nota_recurso_std;nota_apoio_mean;nota_apoio_std;cnuc;bioma
AREA DE RELEVANTE INTERESSE ECOLOGICO IPOJUCA-MEREPE;0.2857142857142857;0.17251638983558854;0.32142857142857145;0.12198750911856665;0.5714285714285714;0.1889822365046136;0.35714285714285715;0.1336306209562122;0.2857142857142857;0.09449111825230681;0000.26.3316;MATA ATLANTICA
AREA DE RELEVANTE INTERESSE ECOLOGICO NASCENTE DO RIO DE CONTAS;0.6818181818181818;0.1965613482767241;0.6590909090909091;0.20225995873897262;0.8863636363636364;0.13055824196677335;0.6590909090909091;0.25672765902623523;0.29545454545454547;0.15075567228888181;0000.29.0298;CAATINGA
AREA DE RELEVANTE INTERESSE ECOLOGICO PARANOA SUL;0.25;;0.25;;0.25;;0.25;;0.25;;0000.53.1649;CERRADO
AREA DE RELEVANTE INTERESSE ECOLOGICO PARQUE JK;0.25;;0.25;;0.25;;0.5;;0.5;;0000.53.1642;CERRADO
AREA DE RELEVANTE INTERESSE ECOLOGICO SANTUARIO DE VIDA SILVESTRE DO RIACHO FUNDO;0.25;;0.25;;0.25;;0.25;;0.25;;0000.53.1645;CERRADO
ESTACAO ECOLOGICA ALTO MAUES;0.42857142857142855;0.23779743280283547;0.9285714285714286;0.12198750911856665;0.7142857142857143;0.26726124191242434;0.9642857142857143;0.09449111825230683;0.21428571428571427;0.09449111825230681;0000.00.3131;AMAZONIA
ESTACAO ECOLOGICA BITA E UTINGA;0.4;0.22360679774997896;0.35;0.22360679774997896;0.6;0.33541019662496846;0.4;0.2850438562747845;0.4;0.22360679774997896;0000.26.3314;MATA ATLANTICA
ESTACAO ECOLOGICA BRAULIO GUEDES DA SILVA;0.45;0.2581988897471611;0.175;0.3736085295243316;0.9;0.31622776601683794;0.0;0.0;0.35;0.3374742788552764;5220.35.3474;MATA ATLANTICA
ESTACAO ECOLOGICA CURRAL DO MEIO;0.34375;0.12938729237669142;0.25;0.0;0.65625;0.18600595228571123;0.15625;0.12938729237669142;0.625;0.1336306209562122;0000.27.4043;CAATINGA
ESTACAO ECOLOGICA DA GUANABARA;0.725;0.1970172314131031;0.8125;0.1790875998528447;0.9;0.12565617248750865;0.7875;0.14678573715309995;0.3375;0.3064546845525624;0000.00.0263;MATA ATLANTICA
ESTACAO ECOLOGICA DA SERRA DAS ARARAS;0.3055555555555556;0.16666666666666666;0.8333333333333334;0.12499999999999999;0.8611111111111112;0.13176156917368248;0.8333333333333334;0.1767766952966369;0.3055555555555556;0.27322660517925;0000.00.0075;CERRADO
ESTACAO ECOLOGICA DA TERRA DO MEIO;0.34615384615384615;0.16261090889699772;0.9807692307692307;0.06933752452815363;0.5576923076923077;0.18125276302049603;1.0;0.0;0.34615384615384615;0.16261090889699775;0000.00.0047;AMAZONIA
ESTACAO ECOLOGICA DE AGUAS EMENDADAS;0.25;0.0;0.25;0.0;0.25;0.0;0.125;0.14433756729740643;0.1875;0.125;0000.53.1634;CERRADO
ESTACAO ECOLOGICA DE AIUABA;0.75;0.2041241452319315;0.8125;0.23935677693908453;0.6875;0.125;0.8125;0.125;0.5625;0.125;0000.00.0048;CAATINGA
